title,artist,release_date,binding
Tales from the Secret Footballer,Anon,2013-11-07,Paperback
Tales from the Secret Footballer,Anon,2014-08-21,Paperback
Ted Hughes,Ted Hughes,2004-03-04,Paperback
Terrible Times,Philip Ardagh,2003-09-04,Paperback
Tersias,G P Taylor,2005-08-04,Hardback
Tersias,G.P. Taylor,2006-06-01,Paperback
That Face,Polly Stenham,2008-05-01,Paperback
That Summer,Andrew Greig,2001-07-09,Paperback
That They May Face the Rising Sun,John McGahern,2003-01-20,Paperback
"The 1,411 QI Facts To Knock You Sideways","John Lloyd, John Mitchinson & James Harkin",2016-05-05,Paperback
The Accident,Chris Pavone,2015-01-05,Paperback
The Accidental Stowaway,Judith Eagle,2022-08-04,Paperback
The Alexandria Quartet,Lawrence Durrell,2012-02-16,Paperback
The Animator's Survival Kit,Richard E. Williams,2009-11-05,Paperback
The Bad Girl,Mario Vargas Llosa,2008-08-07,Paperback
The Beasts of Grimheart,Kieran Larwood,2019-04-04,Paperback
The Bell Jar,Sylvia Plath,1963-01-14,First
The Birthday Party,Harold Pinter,1991-03-04,Paperback
The Black Book,Orhan Pamuk,2006-08-03,Paperback
The Black Tower,P. D. James,1975-04-14,First
The Blackpool Highflyer,Andrew Martin,2005-09-01,Paperback
The Body and Other Stories,Hanif Kureishi,2003-05-06,Paperback
The Book of Laughter and Forgetting,Milan Kundera,1996-05-20,Paperback
The Boy Who Kicked Pigs,Tom Baker,2005-10-20,Paperback
The Brief Wondrous Life of Oscar Wao,Junot Diaz,2009-02-05,Paperback
The Brief Wondrous Life of Oscar Wao,Junot Diaz,2008-02-21,Paperback
The Brooklyn Follies,Paul Auster,2006-09-07,Paperback
The Buddha of Suburbia,Hanif Kureishi,2009-01-08,Paperback
The Building Boy,Ross Montgomery,2016-09-01,Paperback
The Burial at Thebes,Seamus Heaney,2005-03-17,Paperback
The Buried Giant,Kazuo Ishiguro,2016-01-28,Paperback
The Buried Giant,Kazuo Ishiguro,2015-03-03,Hardback
The Canon,Natalie Angier,2008-12-25,Paperback
The Caretaker,Harold Pinter,1991-03-04,Paperback
The Chemistry of Tears,Peter Carey,2013-03-07,Paperback
The Child that Books Built,Francis Spufford,2003-03-17,Paperback
The Children of Castle Rock,Natasha Farrant,2018-03-01,Paperback
The Children of Green Knowe,Lucy M. Boston,2000-04-03,Paperback
The Children of Green Knowe Collection,Lucy M. Boston,2013-10-03,Paperback
The Children of Men,P. D. James,1992-09-28,First
The Christmas Guest,Peter Swanson,2023-09-28,Hardback
The Collected Stories of Lorrie Moore,Lorrie Moore,2009-05-07,Paperback
The Coma,Alex Garland,2004-07-01,Paperback
The Coma,Alex Garland,2005-07-07,Paperback
The Complete Book of Aunts,Rupert Christiansen,2006-10-05,Hardback
The Complete Dramatic Works of Samuel Beckett,Samuel Beckett,2006-01-05,Paperback
The Complete Nonsense of Edward Lear,Edward Lear,2001-04-09,Paperback
The Complete Poems and Plays of T. S. Eliot,T. S. Eliot,2004-10-07,Paperback
The Country Girls Trilogy,Edna O'Brien,2019-03-07,Paperback
The Country Girls Trilogy,Edna O'Brien,2017-09-07,Paperback
The Crafty Art of Playmaking,Alan Ayckbourn,2004-01-22,Paperback
The Cry,Helen FitzGerald,2018-10-04,Paperback
The Cryptographer,Tobias Hill,2004-07-01,Paperback
The Damned Utd,David Peace,2007-04-05,Paperback
The Damned Utd,David Peace,2009-03-05,Paperback
The Dark Clue,James Wilson,2002-05-20,Paperback
The Dark Stuff,Nick Kent,2007-03-15,Paperback
The Dead of Winter,Nicola Upson,2021-11-04,Paperback
The Devil You Know,Gwen Adshead & Eileen Horne,2022-06-30,Paperback
The Discomfort of Evening,Lucas Rijneveld,2020-09-24,Paperback
The Electric Michelangelo,Sarah Hall,2005-03-03,Paperback
The Electric Michelangelo,Sarah Hall,2004-03-18,Paperback
The Ex,Alafair Burke,2016-07-14,Paperback
The Expats,Chris Pavone,2013-01-17,Paperback
The Faber Book of Reportage,Professor John Carey,1996-10-07,Paperback
The Farmer's Wife,Helen Rebanks,2023-08-31,Hardback
The Feast,Margaret Kennedy,2021-06-03,Paperback
The Forbidden Room,Mrs Sarah Wray,2007-01-18,Paperback
The Forger,Paul Watkins,2001-06-04,Paperback
The Fortress of Solitude,Jonathan Lethem,2005-01-06,Paperback
The Funny You Should Ask . . .:Your Questions Answered by the QI Elves,QI Elves,2021-06-03,Paperback
The Further Adventures of the Queen Mum,Harry Hill,2007-10-04,Hardback
The Gift of Dark Hollow,Kieran Larwood,2018-04-05,Paperback
The Girl in the Red Coat,Kate Hamer,2015-12-24,Paperback
The Girl Savage,Katherine Rundell,2011-01-06,Paperback
The Girl Who Walked On Air,Emma Carroll,2014-08-07,Paperback
The Girl With A Clock For A Heart,Peter Swanson,2016-06-02,Paperback
The Golden Mole,Katherine Rundell,2022-10-20,Hardback
The Golden Mole,Katherine Rundell,2023-11-02,Paperback
The Grip of Film,Richard Ayoade,2017-10-05,Paperback
The Hell of it All,Charlie Brooker,2009-10-01,Hardback
The History Boys,Alan Bennett,2004-06-17,Paperback
The Hollow Crown,Dan Jones,2015-04-30,Paperback
The Hollow Crown,Dan Jones,2014-09-04,Hardback
The Homecoming,Harold Pinter,1991-01-21,Paperback
The Hug,Eoin McLaughlin,2019-01-03,Paperback
The Hug,Eoin McLaughlin,2019-01-03,Hardback
The Human Touch,Michael Frayn,2007-09-06,Paperback
The Human Touch,Michael Frayn,2006-09-21,Hardback
The Idiot Brain,Dean Burnett,2017-03-02,Paperback
The Idiot Brain,Dean Burnett,2016-02-18,Paperback
The Illuminations,Andrew O'Hagan,2015-12-31,Paperback
The Immigrant,Manju Kapur,2009-12-03,Paperback
The Iron Man,Ted Hughes,1968-02-26,First
The Iron Woman,Ted Hughes,1993-08-13,First
The Janissary Tree,Jason Goodwin,2007-06-07,Paperback
The Joke,Milan Kundera,2000-08-21,Paperback
The Joy of Small Things,Hannah Jane Parkinson,2022-06-02,Paperback
The Joy of Small Things,Hannah Jane Parkinson,2021-10-07,Hardback
The Jungle Book,Rudyard Kipling,2016-08-10,Paperback
The Kid Stays in the Picture,Robert Alan Evans,2004-02-19,Paperback
The Kind Worth Killing,Peter Swanson,2015-09-03,Paperback
The Lacuna,Barbara Kingsolver,2010-04-22,Paperback
The Lady in the Van,Alan Bennett,2015-11-05,Hardback
The Land of Neverendings,Kate Saunders,2018-07-05,Paperback
The Language Lover’s Puzzle Book,Alex Bellos,2020-11-05,Paperback
The Last Englishman,Roland Chambers,2010-05-01,Paperback
The Last King of Scotland,Giles Foden,2007-01-18,Paperback
The Last King of Scotland,Giles Foden,1999-01-28,Paperback
The Last Place You Look,Kristen Lepionka,2017-07-06,Paperback
The Last Train to Scarborough,Andrew Martin,2010-04-01,Paperback
The Legend of Podkin One-Ear,Kieran Larwood,2017-06-01,Paperback
The Lesser Bohemians,Eimear McBride,2017-05-04,Paperback
The Lighthouse,P. D. James,2006-04-06,Paperback
The Lighthouse,P. D. James,2005-10-10,Hardback
The Little Red Chairs,Edna O'Brien,2016-06-02,Paperback
The Little Red Chairs,Edna O'Brien,2015-10-29,Hardback
The Long Shadow,Celia Fremlin,2018-11-01,Paperback
"The Longer the Wait, the Bigger the Hug",Eoin McLaughlin,2021-06-29,Paperback
The Lost Luggage Porter,Andrew Martin,2007-05-03,Paperback
The Love of Stones,Tobias Hill,2002-02-04,Paperback
The Lunar Men,Jenny Uglow,2003-09-04,Paperback
The Lunar Men,Jenny Uglow,2002-09-16,Hardback
The Melancholy Death of Oyster Boy,Tim Burton,2004-11-18,Paperback
The Melancholy Death of Oyster Boy,Tim Burton,1998-12-07,Hardback
The Midnight Fox,Betsy Byars,2014-05-01,Paperback
The Mistletoe Murder and Other Stories,P. D. James,2017-10-05,Paperback
The Mistletoe Murder and Other Stories,P. D. James,2016-10-06,Hardback
The Moor,William Atkins,2015-05-07,Paperback
The Murder Room,P. D. James,2004-02-05,Paperback
The Murder Room,P. D. James,2003-07-03,Hardback
The Museum of Innocence,Orhan Pamuk,2010-09-02,Paperback
The Museum of Innocence,Orhan Pamuk,2009-12-24,Hardback
The Necropolis Railway,Andrew Martin,2005-09-01,Paperback
The Never-Ending Days of Being Dead,Marcus Chown,2007-09-20,Paperback
The New Faber Book of Love Poems,Various Poets,2008-02-07,Paperback
The New York Trilogy,Paul Auster,2004-02-05,Paperback
The New York Trilogy,Paul Auster,2011-06-02,Paperback
The Observations,Jane Harris,2007-02-01,Paperback
The Orange and other poems,Wendy Cope,2023-11-09,Hardback
The Other Half,Charlotte Vassell,2023-09-28,Paperback
The Owl and the Nightingale,Simon Armitage,2021-10-07,Hardback
The Pebbles on the Beach,Clarence Ellis,2018-08-02,Paperback
The Pillowman,Martin McDonagh,2003-11-20,Paperback
The Plot,Jean Hanff Korelitz,2021-08-05,Paperback
The Poisonwood Bible,Barbara Kingsolver,1999-02-01,First
The Polar Bear Explorers' Club,Alex Bell,2017-11-02,Paperback
The Premonitions Bureau,Sam Knight,2022-05-05,Hardback
The Premonitions Bureau,Sam Knight,2023-04-06,Paperback
The Private Patient,P. D. James,2008-08-28,Hardback
The Private Patient,P. D. James,2009-04-02,Paperback
The QI Book of the Dead,John Lloyd & John Mitchinson,2009-11-05,Hardback
The Queen's Agent,John Cooper,2012-07-05,Paperback
The Railway Children,E. Nesbit,2016-05-05,Paperback
The Red-Haired Woman,Orhan Pamuk,2018-07-05,Paperback
The Remains of the Day,Kazuo Ishiguro,2010-04-01,Paperback
The Remains of the Day,Kazuo Ishiguro,2015-04-02,Paperback
The Resurrectionist,James Bradley,2008-06-19,Paperback
The Rose of Tibet,Lionel Davidson,2016-03-03,Paperback
The Secret Footballer's Guide to the Modern Game,Anon,2014-11-06,Hardback
The Secret Footballer's Guide to the Modern Game,Anon,2015-08-06,Paperback
The Secret Garden,Frances Hodgson Burnett,2015-07-02,Paperback
The Secret Life of Cows,Rosamund Young,2017-10-05,Hardback
The Secret Life of Cows,Rosamund Young,2018-06-07,Paperback
The Secret Life of France,Lucy Wadham,2010-07-01,Paperback
The Secret Life of France,Lucy Wadham,2009-07-02,Paperback
The Secret Scripture,Sebastian Barry,2009-01-29,Paperback
The Secret Scripture,Sebastian Barry,2015-03-05,Paperback
The Secret Teacher,Anon,2018-08-02,Paperback
The Seven Professors of the Far North,John Fardell,2004-10-07,Paperback
The Sex Life of My Aunt,Mavis Cheek,2002-03-04,Paperback
The Somerset Tsunami,Emma Carroll,2019-10-03,Paperback
The Somme Stations,Andrew Martin,2012-02-02,Paperback
The Spy's Handbook,Herbie Brennan,2003-04-21,Paperback
The Story of a Marriage,Andrew Sean Greer,2009-05-07,Paperback
The Story of Ferdinand,Munro Leaf,2017-09-07,Paperback
The Story of Forgetting,Stefan Block,2009-02-26,Paperback
The Strangest Man,Graham Farmelo,2009-12-24,Paperback
The Temporary Gentleman,Sebastian Barry,2015-02-05,Paperback
The The QI Annual 2011,John Lloyd,2010-11-04,Hardback
The Thick of It,"Armando Iannucci, Jesse Armstrong et al",2010-11-04,Paperback
The Three Dimensions of Freedom,Billy Bragg,2019-05-02,Paperback
The Travelers,Chris Pavone,2016-08-25,Paperback
The Turbulent Term of Tyke Tiler,Gene Kemp,2015-01-01,Paperback
The Ultimate Book of Heroic Failures,Stephen Pile,2011-10-20,Hardback
The Unbearable Lightness of Being,Milan Kundera,1984-05-21,Hardback
The Unconsoled,Kazuo Ishiguro,2013-02-07,Paperback
The Wall,John Lanchester,2019-09-05,Paperback
The Wall,John Lanchester,2019-01-17,Hardback
The Waste Land,T. S. Eliot,1922-10-16,First
The Wasted Vigil,Nadeem Aslam,2009-06-04,Paperback
The Way to Paradise,Mario Vargas Llosa,2004-11-04,Paperback
The Week at World's End,Emma Carroll,2022-03-03,Paperback
The Whereabouts of Eneas McNulty,Sebastian Barry,2006-06-01,Paperback
The White War,Mark Thompson,2009-04-02,Paperback
The Whitsun Weddings,Philip Larkin,2001-05-08,Paperback
The Wife,Alafair Burke,2018-08-02,Paperback
The Wilding,Maria McCann,2010-09-02,Paperback
The Wind in the Willows,Kenneth Grahame,2015-07-02,Paperback
The Wolf Border,Sarah Hall,2016-03-03,Paperback
The World According to Humphrey,Betty G. Birney,2006-02-02,Paperback
Theft,Peter Carey,2007-06-07,Paperback
Theft,Peter Carey,2006-06-01,Hardback
They (Faber Editions),Kay Dick,2022-02-03,Paperback
Thinking About It Only Makes It Worse,David Mitchell,2015-06-04,Paperback
Thinking About It Only Makes It Worse,David Mitchell,2014-11-06,Hardback
This Book Will Change Your Mind About Mental Health,Nathan Filer,2019-12-26,Paperback
This Is How You Lose Her,Junot Diaz,2013-09-05,Paperback
This Is Not Propaganda,Peter Pomerantsev,2019-08-01,Paperback
This Is Not Propaganda,Peter Pomerantsev,2020-10-01,Paperback
This Mournable Body,Tsitsi Dangarembga,2020-09-15,Paperback
Three Dublin Plays,Sean O'Casey,1998-07-20,Paperback
Through the Woods,Emily Carroll,2015-05-07,Paperback
Thunder God,Paul Watkins,2005-05-05,Paperback
Tim the Tiny Horse,Harry Hill,2006-10-05,Hardback
Tim the Tiny Horse,Harry Hill,2007-10-04,Paperback
Timbuktu,Paul Auster,2008-01-03,Paperback
Timbuktu,Paul Auster,2000-06-05,Paperback
Tokyo Year Zero,David Peace,2008-09-04,Paperback
Touching from a Distance,Deborah Curtis,2005-02-17,Paperback
Touching from a Distance,Deborah Curtis,2001-06-04,Paperback
Touching from a Distance (Film Tie-in),Deborah Curtis,2007-10-04,Paperback
Towards the End of the Morning,Michael Frayn,1967-01-01,First
Transit,Rachel Cusk,2018-05-03,Paperback
Translations,Brian Friel,1981-04-27,Paperback
Travels in the Scriptorium,Paul Auster,2007-09-06,Paperback
Trieste,Jan Morris,2002-07-22,Paperback
Trouble According to Humphrey,Betty G. Birney,2008-04-03,Paperback
True and False,David Mamet,1998-05-18,Paperback
True History of the Kelly Gang,Peter Carey,2001-01-08,Hardback
True History of the Kelly Gang,Peter Carey,2001-09-03,Paperback
True Tales of American Life,Paul Auster,2002-10-07,Paperback
Turbulence,Giles Foden,2010-05-01,Paperback
Turbulent Term of Tyke Tiler,Gene Kemp,2006-04-06,Paperback
TV Go Home,Charlie Brooker,2010-11-04,Paperback
Two Cures for Love,Wendy Cope,2009-02-05,Paperback
Unapologetic,Francis Spufford,2013-03-07,Paperback
Uncle Paul,Celia Fremlin,2023-06-29,Paperback
Uncle Petros and Goldbach's Conjecture,Apostolos Doxiadis,2001-03-05,Paperback
Uncommon Ground,Dominick Tyler,2015-03-19,Paperback
Unconsoled,Kazuo Ishiguro,2005-03-03,Paperback
Unconsoled,Kazuo Ishiguro,1999-07-19,Paperback
Undercover,Paul Lewis & Rob Evans,2014-03-06,Paperback
Undercover,Paul Lewis & Rob Evans,2013-06-25,Paperback
Unnatural Causes,P. D. James,1967-01-01,First
Unsheltered,Barbara Kingsolver,2019-06-06,Paperback
Unsheltered,Barbara Kingsolver,2018-10-18,Hardback
Untold Stories,Alan Bennett,2005-10-03,Hardback
Untold Stories,Alan Bennett,2006-09-07,Paperback
Vendetta (2),Michael Dibdin,2004-08-05,Paperback
Venice,Jan Morris,2004-10-07,Paperback
Vernon God Little,DBC Pierre,2003-01-20,Paperback
Vernon God Little,DBC Pierre,2003-01-20,Paperback
Voices from the Grave,Ed Moloney,2010-03-31,Paperback
Voyage of the Sparrowhawk,Natasha Farrant,2020-09-03,Paperback
W. B. Yeats,W.B. Yeats,2009-05-07,Hardback
W. H. Auden,W.H. Auden,2005-04-07,Paperback
W. H. Auden,W.H. Auden,2009-05-07,Hardback
Waiting for Godot,Samuel Beckett,2006-01-05,Paperback
Waiting for Godot,Samuel Beckett,1998-02-16,Paperback
Walk the Blue Fields,Claire Keegan,2008-05-01,Paperback
Walking Away,Simon Armitage,2016-05-05,Paperback
Walking Away,Simon Armitage,2015-06-04,Hardback
Walking Home,Simon Armitage,2013-04-04,Paperback
Walking Home,Simon Armitage,2012-07-05,Hardback
Wasted Calories and Ruined Nights,Jay Rayner,2018-10-04,Paperback
Watch Me,James Carol,2014-08-07,Paperback
We Need to Talk About Kelvin,Marcus Chown,2010-09-02,Paperback
Weirdo,Sara Pascoe,2023-09-14,Hardback
What Good are the Arts?,Professor John Carey,2006-06-01,Paperback
What Happened to You?,James Catchpole,2021-04-01,Paperback
What Just Happened?!,Marina Hyde,2022-10-06,Hardback
What Just Happened?!,Marina Hyde,2023-06-01,Paperback
What Would Boudicca Do?,Beth Coates & Elizabeth Foley,2018-09-06,Hardback
What Would Boudicca Do?,Beth Coates & Elizabeth Foley,2019-03-07,Paperback
Whatever You Love,Louise Doughty,2011-04-07,Paperback
When Stars are Scattered,Victoria Jamieson & Omar Mohamed,2020-07-02,Paperback
When the Lights Went Out,Andy Beckett,2010-01-28,Paperback
When We Were Orphans,Kazuo Ishiguro,2001-03-05,Paperback
When We Were Orphans,Kazuo Ishiguro,2005-03-03,Paperback
When we were Warriors,Emma Carroll,2019-02-07,Paperback
Where the Wild Mums Are,Katie Blackburn,2015-02-19,Hardback
While We Can't Hug,Eoin McLaughlin,2020-06-25,Paperback
White Castle,Orhan Pamuk,1991-10-07,Paperback
"Who am I, again?",Lenny Henry,2019-10-03,Hardback
Why Beethoven Threw the Stew,Steven Isserlis,2001-10-08,Paperback
Wise Blood,Flannery O'Connor,2008-02-28,Paperback
Wittgenstein'S Poker,David Edmonds,2002-04-08,Paperback
Wormwood,G P Taylor,2004-06-03,Paperback
Writing Home,Alan Bennett,1998-07-06,Paperback
Writing Home,Alan Bennett,2006-09-07,Paperback
Y,Marjorie Celona,2014-01-02,Paperback
Yeah Yeah Yeah,Bob Stanley,2013-09-13,Paperback
Yesterday's Houses,Mavis Cheek,2007-01-04,Paperback
You Made a Fool of Death With Your Beauty,Akwaeke Emezi,2022-05-26,Hardback
You Made a Fool of Death With Your Beauty,Akwaeke Emezi,2023-06-08,Paperback
You Should Have Known,Jean Hanff Korelitz,2015-01-01,Paperback
Zanzibar,Giles Foden,2003-07-03,Paperback
Zorba the Greek,Nikos Kazantzakis,2008-10-16,Paperback
